,collection_date,country,gene,organism,tax_id,rank,taxid,lineage_rank
33907,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33908,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33909,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33910,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33911,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33912,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33913,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33914,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33915,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33916,,,16S,Histioteuthis environmental sample,1365856,species,1365856,order//suborder//family//no rank//species
33917,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33918,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33919,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33920,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33921,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33922,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33923,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33924,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33925,,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,1365856,order//suborder//family//no rank//species
33926,,,16S,Histioteuthis environmental sample,1365856,species,1365856,order//suborder//family//no rank//species
34770,,,16S,Loligo sp. AL9407-Loligo-1K,184221,species,184221,order//suborder//family//genus//no rank//species
34771,,,16S,Loligo sp. AL9407-Loligo-1K,184221,species,184221,order//suborder//family//genus//no rank//species
34772,,,16S,Illex sp. AL9407-Illex-2K,184223,species,184223,order//suborder//family//genus//no rank//species
34773,,,16S,Illex sp. AL9407-Illex-2K,184223,species,184223,order//suborder//family//genus//no rank//species
34774,,,16S,Architeuthidae environmental sample cf. Architeuthis sp.,1986287,subspecies,1986287,order//suborder//family//no rank//subspecies
34775,,,16S,Architeuthidae environmental sample cf. Architeuthis sp.,1986287,subspecies,1986287,order//suborder//family//no rank//subspecies
34776,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34777,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34778,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34779,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34780,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34781,,,16S,Architeuthidae environmental sample cf. Architeuthis dux,1986288,species,1986288,order//suborder//family//no rank//species
34782,,,16S,Chiroteuthidae environmental sample,1986366,species,1986366,order//suborder//family//no rank//species
34783,,,16S,Chiroteuthidae environmental sample,1986366,species,1986366,order//suborder//family//no rank//species
34784,,,16S,Cranchiidae environmental sample,1986371,species,1986371,order//suborder//family//no rank//species
34785,,,16S,Cranchiidae environmental sample,1986371,species,1986371,order//suborder//family//no rank//species
34786,,,16S,Cycloteuthidae environmental sample cf. Cycloteuthis sirventi,1986374,species,1986374,order//suborder//family//no rank//species
34787,,,16S,Cycloteuthidae environmental sample cf. Cycloteuthis sirventi,1986374,species,1986374,order//suborder//family//no rank//species
34788,,,16S,Chiroteuthidae environmental sample cf. Grimalditeuthis bonplandi,1986376,species,1986376,order//suborder//family//no rank//species
34789,,,16S,Chiroteuthidae environmental sample cf. Grimalditeuthis bonplandi,1986376,species,1986376,order//suborder//family//no rank//species
34790,,,16S,Cranchiidae environmental sample cf. Helicocranchia pfefferi,1986377,species,1986377,order//suborder//family//no rank//species
34791,,,16S,Cranchiidae environmental sample cf. Helicocranchia pfefferi,1986377,species,1986377,order//suborder//family//no rank//species
34792,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34793,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34794,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34795,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34796,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34797,,,16S,Histioteuthidae environmental sample cf. Histioteuthis reversa,1986382,species,1986382,order//suborder//family//no rank//species
34798,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34799,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34800,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34801,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34802,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34803,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis hjorti,1986384,species,1986384,order//suborder//family//no rank//species
34804,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis magna,1986385,species,1986385,order//suborder//family//no rank//species
34805,,,16S,Mastigoteuthidae environmental sample cf. Idioteuthis magna,1986385,species,1986385,order//suborder//family//no rank//species
34806,,,16S,Joubiniteuthidae environmental sample cf. Joubiniteuthis portieri,1986388,species,1986388,order//suborder//family//no rank//species
34807,,,16S,Joubiniteuthidae environmental sample cf. Joubiniteuthis portieri,1986388,species,1986388,order//suborder//family//no rank//species
34808,,,16S,Joubiniteuthidae environmental sample cf. Joubiniteuthis portieri,1986388,species,1986388,order//suborder//family//no rank//species
34809,,,16S,Joubiniteuthidae environmental sample cf. Joubiniteuthis portieri,1986388,species,1986388,order//suborder//family//no rank//species
34810,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34811,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34812,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34813,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34814,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34815,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34816,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
