collection_date,country,gene,organism,tax_id,rank_x,name,rank_y,sonof_name,sonof_id,lineage_name,lineage_id,root,sub_root,superkingdom,sub_superkingdom,kingdom,sub_kingdom,sub_kingdom_1,sub_kingdom_2,sub_kingdom_3,phylum,class,subclass,infraclass,superorder,order,sub_order,suborder,sub_suborder,family,sub_family,genus,sub_genus,species,subspecies
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthis environmental sample,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
,,16S,Histioteuthidae environmental sample cf. Histoteuthis sp.,1365856,species,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,environmental samples,1365855,root//cellular organisms//Eukaryota//Opisthokonta//Metazoa//Eumetazoa//Bilateria//Protostomia//Lophotrochozoa//Mollusca//Cephalopoda//Coleoidea//Neocoleoidea//Decapodiformes//Teuthida//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Cephalopoda,Coleoidea,Neocoleoidea,Decapodiformes,Teuthida,,Oegopsina,,Histioteuthidae,environmental samples,,,Histioteuthidae environmental sample cf. Histoteuthis sp.,
