taxid,name,rank,lineage_name,lineage_id,son_of
551290,Teuthida,order,Teuthida,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290,
1986411,environmental samples,no rank,//environmental samples,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//1986411,551290
1986412,Teuthida environmental sample,species, environmental sample,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//1986411//1986412,1986411
2002786,Doryteuthis environmental sample,species,//environmental samples//Doryteuthis environmental sample,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//1986411//2002786,1986411
2002799,Illex environmental sample,species,//environmental samples//Illex environmental sample,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//1986411//2002799,1986411
34542,Oegopsina,suborder,//Oegopsina,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542,551290
283043,Batoteuthidae,family,//Oegopsina//Batoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043,34542
283044,Batoteuthis,genus,//Oegopsina//Batoteuthidae//Batoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043//283044,283043
283045,Batoteuthis skolops,species,//Oegopsina//Batoteuthidae//Batoteuthis//Batoteuthis skolops,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043//283044//283045,283044
34554,Architeuthidae,family,//Oegopsina//Architeuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554,34542
1986286,environmental samples,no rank,//Oegopsina//Architeuthidae//environmental samples,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//1986286,34554
1986287,Architeuthidae environmental sample cf. Architeuthis sp.,subspecies,//Oegopsina//Architeuthidae//environmental samples//Architeuthidae environmental sample cf. Architeuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//1986286//1986287,1986286
1986288,Architeuthidae environmental sample cf. Architeuthis dux,species,//Oegopsina//Architeuthidae//environmental samples//Architeuthidae environmental sample cf. Architeuthis dux,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//1986286//1986288,1986286
34555,Architeuthis,genus,//Oegopsina//Architeuthidae//Architeuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555,34554
1235433,Architeuthis sp. NSMT 001,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. NSMT 001,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//1235433,34555
215441,Architeuthis sp. SJ-2002,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. SJ-2002,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//215441,34555
248766,Architeuthis sp. BED-2003,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. BED-2003,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//248766,34555
256136,Architeuthis dux,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis dux,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//256136,34555
279107,Architeuthis sp. JMS-2004,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//279107,34555
34556,Architeuthis sp.,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//34556,34555
559516,Architeuthis sp. ARL-2008,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//559516,34555
664327,Architeuthis sp. ML-2009,species,//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. ML-2009,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//664327,34555
34557,Histioteuthidae,family,//Oegopsina//Histioteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557,34542
1365855,environmental samples,no rank,//Oegopsina//Histioteuthidae//environmental samples,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855,34557
1365856,Histioteuthidae environmental sample cf. Histoteuthis sp.,species,//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1365856,1365855
1986382,Histioteuthidae environmental sample cf. Histioteuthis reversa,species,//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Histioteuthis reversa,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1986382,1365855
1986408,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,species,//Oegopsina//Histioteuthidae//environmental samples//Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1365855//1986408,1365855
1986407,Stigmatoteuthis,genus,//Oegopsina//Histioteuthidae//Stigmatoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1986407,34557
2053936,Stigmatoteuthis arcturi,species,//Oegopsina//Histioteuthidae//Stigmatoteuthis//Stigmatoteuthis arcturi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//1986407//2053936,1986407
34558,Histioteuthis,genus,//Oegopsina//Histioteuthidae//Histioteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558,34557
