taxid,name,rank,lineage_name,lineage_id
6615,Loliginidae,family,Teuthida//Myopsina//Loliginidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615
6616,Loligo,genus,Teuthida//Myopsina//Loliginidae//Loligo,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616
6618,Loligo forbesii,species,Teuthida//Myopsina//Loliginidae//Loligo//Loligo forbesii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//6618
6622,Loligo vulgaris,species,Teuthida//Myopsina//Loliginidae//Loligo//Loligo vulgaris,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//6622
6623,Enoploteuthidae,family,Teuthida//Oegopsina//Enoploteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623
6624,Watasenia,genus,Teuthida//Oegopsina//Enoploteuthidae//Watasenia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//6624
6625,Watasenia scintillans,species,Teuthida//Oegopsina//Enoploteuthidae//Watasenia//Watasenia scintillans,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//6624//6625
6626,Ommastrephidae,family,Teuthida//Oegopsina//Ommastrephidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626
6627,Illex,genus,Teuthida//Oegopsina//Ommastrephidae//Illex,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627
6628,Illex argentinus,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex argentinus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//6628
6629,Illex illecebrosus,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex illecebrosus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//6629
6630,Nototodarus,genus,Teuthida//Oegopsina//Ommastrephidae//Nototodarus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6630
6631,Nototodarus gouldi,species,Teuthida//Oegopsina//Ommastrephidae//Nototodarus//Nototodarus gouldi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6630//6631
6632,Ommastrephes,genus,Teuthida//Oegopsina//Ommastrephidae//Ommastrephes,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6632
6636,Todarodes,genus,Teuthida//Oegopsina//Ommastrephidae//Todarodes,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636
6637,Todarodes pacificus,species,Teuthida//Oegopsina//Ommastrephidae//Todarodes//Todarodes pacificus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636//6637
34542,Oegopsina,suborder,Teuthida//Oegopsina,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542
34543,Pterygioteuthis,genus,Teuthida//Oegopsina//Enoploteuthidae//Pterygioteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34543
34544,Pterygioteuthis microlampas,species,Teuthida//Oegopsina//Enoploteuthidae//Pterygioteuthis//Pterygioteuthis microlampas,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34543//34544
34545,Enoploteuthis,genus,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545
34546,Enoploteuthis reticulata,species,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis//Enoploteuthis reticulata,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545//34546
34547,Abraliopsis,genus,Teuthida//Oegopsina//Enoploteuthidae//Abraliopsis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34547
34548,Abraliopsis sp.,species,Teuthida//Oegopsina//Enoploteuthidae//Abraliopsis//Abraliopsis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34547//34548
34549,Abralia,genus,Teuthida//Oegopsina//Enoploteuthidae//Abralia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34549
34550,Abralia trigonura,species,Teuthida//Oegopsina//Enoploteuthidae//Abralia//Abralia trigonura,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34549//34550
34551,Nototodarus hawaiiensis,species,Teuthida//Oegopsina//Ommastrephidae//Nototodarus//Nototodarus hawaiiensis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6630//34551
34552,Sthenoteuthis,genus,Teuthida//Oegopsina//Ommastrephidae//Sthenoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//34552
34553,Sthenoteuthis oualaniensis,species,Teuthida//Oegopsina//Ommastrephidae//Sthenoteuthis//Sthenoteuthis oualaniensis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//34552//34553
34554,Architeuthidae,family,Teuthida//Oegopsina//Architeuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554
34555,Architeuthis,genus,Teuthida//Oegopsina//Architeuthidae//Architeuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555
34556,Architeuthis sp.,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//34556
34557,Histioteuthidae,family,Teuthida//Oegopsina//Histioteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557
34558,Histioteuthis,genus,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558
34559,Histioteuthis sp.,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//34559
34560,Cranchiidae,family,Teuthida//Oegopsina//Cranchiidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560
34561,Leachia,genus,Teuthida//Oegopsina//Cranchiidae//Leachia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//34561
34562,Leachia pacifica,species,Teuthida//Oegopsina//Cranchiidae//Leachia//Leachia pacifica,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//34561//34562
34563,Liocranchia,genus,Teuthida//Oegopsina//Cranchiidae//Liocranchia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//34563
34564,Liocranchia valdiviae,species,Teuthida//Oegopsina//Cranchiidae//Liocranchia//Liocranchia valdiviae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//34563//34564
34565,Onychoteuthidae,family,Teuthida//Oegopsina//Onychoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565
34566,Moroteuthis,genus,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566
